Hugo Symbol	ensembl	oncokb	mskcc	mane
MAD2L2	ENST00000376692	ENST00000235310	ENST00000376667	ENST00000376692
MAF	ENST00000326043	ENST00000393350		ENST00000326043
MAFB	ENST00000373313	ENST00000373313		ENST00000373313
MAGI2	ENST00000354212			ENST00000354212
MAL2	ENST00000614891	ENST00000614891		ENST00000614891
MALT1	ENST00000649217	ENST00000649217	ENST00000649217	ENST00000649217
MAML2	ENST00000524717	ENST00000524717		ENST00000524717
MAP2K1	ENST00000307102	ENST00000307102	ENST00000307102	ENST00000307102
MAP2K2	ENST00000262948	ENST00000262948	ENST00000262948	ENST00000262948
MAP2K4	ENST00000353533	ENST00000353533	ENST00000353533	ENST00000353533
MAP3K1	ENST00000399503	ENST00000399503	ENST00000399503	ENST00000399503
MAP3K13	ENST00000265026	ENST00000265026	ENST00000265026	ENST00000265026
MAP3K14	ENST00000344686	ENST00000344686	ENST00000344686	ENST00000344686
MAP3K21	ENST00000366624	ENST00000366624		ENST00000366624
MAP3K7	ENST00000369329	ENST00000369329		ENST00000369329
MAP4K4	ENST00000324219	ENST00000347699		
MAPK1	ENST00000215832	ENST00000215832	ENST00000215832	ENST00000215832
MAPK3	ENST00000263025	ENST00000263025	ENST00000263025	ENST00000263025
MAPKAP1	ENST00000265960	ENST00000265960	ENST00000265960	ENST00000265960
MAX	ENST00000358664	ENST00000358664	ENST00000358664	ENST00000358664
MBD4	ENST00000429544	ENST00000249910		ENST00000429544
MBD6	ENST00000355673	ENST00000355673		ENST00000355673
MCL1	ENST00000369026	ENST00000369026	ENST00000369026	ENST00000369026
MDC1	ENST00000376406	ENST00000376406	ENST00000376406	ENST00000376406
MDM2	ENST00000258149	ENST00000258149	ENST00000258149	
MDM4	ENST00000367182	ENST00000367182	ENST00000367182	ENST00000367182
MECOM	ENST00000651503	ENST00000468789		ENST00000651503
MED12	ENST00000374080	ENST00000374080	ENST00000374080	ENST00000374080
MEF2B	ENST00000424583	ENST00000424583	ENST00000424583	ENST00000424583
MEF2C	ENST00000504921	ENST00000437473		ENST00000504921
MEF2D	ENST00000348159	ENST00000348159		ENST00000348159
MEN1	ENST00000450708	ENST00000312049	ENST00000312049	ENST00000450708
MERTK	ENST00000295408	ENST00000295408		ENST00000295408
MET	ENST00000397752	ENST00000397752	ENST00000397752	ENST00000397752
MGA	ENST00000703841	ENST00000219905	ENST00000219905	
MGAM	ENST00000475668	ENST00000549489		ENST00000475668
MIDEAS	ENST00000423556	ENST00000286523		
MITF	ENST00000352241	ENST00000394351	ENST00000394351	ENST00000352241
MKI67	ENST00000368654	ENST00000368654		ENST00000368654
MLH1	ENST00000231790	ENST00000231790	ENST00000231790	ENST00000231790
MLH3	ENST00000355774	ENST00000355774		ENST00000355774
MLLT1	ENST00000252674	ENST00000252674	ENST00000252674	ENST00000252674
MLLT10	ENST00000307729	ENST00000307729		ENST00000307729
MLLT3	ENST00000380338	ENST00000380338		ENST00000380338
MN1	ENST00000302326	ENST00000302326		ENST00000302326
MOB3B	ENST00000262244	ENST00000262244		ENST00000262244
MPEG1	ENST00000361050	ENST00000361050		ENST00000361050
MPL	ENST00000372470	ENST00000372470	ENST00000372470	ENST00000372470
MRE11	ENST00000323929	ENST00000323929	ENST00000323929	ENST00000323929
MS4A1	ENST00000345732	ENST00000345732		ENST00000345732
MSH2	ENST00000233146	ENST00000233146	ENST00000233146	ENST00000233146
MSH3	ENST00000265081	ENST00000265081	ENST00000265081	ENST00000265081
MSH6	ENST00000234420	ENST00000234420	ENST00000234420	ENST00000234420
MSI1	ENST00000257552	ENST00000257552	ENST00000257552	ENST00000257552
MSI2	ENST00000284073	ENST00000284073	ENST00000284073	ENST00000284073
MST1	ENST00000449682	ENST00000449682	ENST00000449682	
MST1R	ENST00000296474	ENST00000296474	ENST00000296474	ENST00000296474
MTAP	ENST00000644715	ENST00000644715	ENST00000644715	ENST00000644715
MTHFD2	ENST00000394053	ENST00000394053		ENST00000394053
MTHFR	ENST00000376590			ENST00000376590
MTOR	ENST00000361445	ENST00000361445	ENST00000361445	ENST00000361445
MUTYH	ENST00000456914	ENST00000372115	ENST00000672818	ENST00000456914
MYB	ENST00000341911	ENST00000367814		ENST00000341911
MYBL1	ENST00000522677	ENST00000522677		
MYC	ENST00000621592	ENST00000621592	ENST00000621592	ENST00000621592
MYCL	ENST00000372816	ENST00000397332	ENST00000397332	ENST00000372816
MYCN	ENST00000281043	ENST00000281043	ENST00000281043	ENST00000281043
MYD88	ENST00000650905	ENST00000396334	ENST00000650905	ENST00000650905
MYH11	ENST00000300036	ENST00000300036		ENST00000300036
MYO5A	ENST00000399233	ENST00000399231		ENST00000399233
